annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg]
2019;320;sudouest_1_1;organique_sudouest_1;maisT;mais_tousSols_nonirr_organique;SEMIS;0.55;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;261;beauce_1_1;organique_beauce_1;orgeh;orgeH_tousSols_nonirr_organique;SEMIS;0.92;6.0;;;;;;;;;;;;;;;;;;;;;;
2019;276;sudouest_2_1;mineral_sudouest_2;maisT;mais_tousSols_nonirr_mineral;SEMIS;0.83;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;280;sudouest_3_1;organique_sudouest_3;maisT;mais_tousSols_irr_organique;SEMIS;0.52;4.0;;;;;;;;;;;;;;;;;;;;;;
2019;282;sudouest_4_1;mineral_sudouest_4;maisT;mais_tousSols_irr_mineral;SEMIS;0.67;4.0;;;;;;;;;;;;;;;;;;;;;;
2019;309;sudouest_5_1;organique_sudouest_5;maisT;mais_tousSols_nonirr_organique;SEMIS;0.74;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;287;sudouest_5_1;organique_sudouest_5;maisT;mais_tousSols_nonirr_organique;TRAVAIL_SOL;1.47;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;274;beauce_2_1;mineral_beauce_2;orgeh;orgeH_tousSols_nonirr_mineral;SEMIS;0.94;6.0;;;;;;;;;;;;;;;;;;;;;;
2019;265;beauce_2_1;mineral_beauce_2;orgeh;orgeH_tousSols_nonirr_mineral;TRAVAIL_SOL;1.01;15.0;;;;;;;;;;;;;;;;;;;;;;
2019;280;sudouest_6_1;mineral_sudouest_6;maisT;mais_tousSols_nonirr_mineral;SEMIS;0.61;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;255;sudouest_6_1;mineral_sudouest_6;maisT;mais_tousSols_nonirr_mineral;TRAVAIL_SOL;1.23;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;301;sudouest_7_1;organique_sudouest_7;maisT;mais_tousSols_irr_organique;SEMIS;0.57;4.0;;;;;;;;;;;;;;;;;;;;;;
2019;262;sudouest_8_1;mineral_sudouest_8;maisT;mais_tousSols_irr_mineral;SEMIS;0.43;4.0;;;;;;;;;;;;;;;;;;;;;;
